"id","name","price","no_of_units","unit","stock_quantity","is_active","image","description","created_at","updated_at","category_id","slug"
"50","Apple","120.00","1","kg","50","1","apple.jpg","Fresh red apples","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","1","apple"
"51","Banana","40.00","1","kg","100","1","banana.jpg","Organic bananas","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","1","banana"
"52","Orange","80.00","1","kg","60","1","orange.jpg","Juicy oranges","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","1","orange"
"53","Strawberry","250.00","500","g","30","1","strawberry.jpg","Fresh strawberries","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","1","strawberry"
"54","Mango","150.00","1","kg","80","1","mango.jpg","Seasonal Alphonso mangoes","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","1","mango"
"55","Grapes","90.00","1","kg","70","1","grapes.jpg","Fresh seedless grapes","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","1","grapes"
"56","Spinach","50.00","1","kg","40","1","spinach.jpg","Fresh green spinach","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","2","spinach"
"57","Carrot","60.00","1","kg","80","1","carrot.jpg","Organic carrots","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","2","carrot"
"58","Tomato","45.00","1","kg","70","1","tomato.jpg","Fresh tomatoes","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","2","tomato"
"59","Potato","35.00","1","kg","120","1","potato.jpg","Red potatoes","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","2","potato"
"60","Onion","40.00","1","kg","90","1","onion.jpg","Fresh onions","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","2","onion"
"61","Cauliflower","70.00","1","kg","50","1","cauliflower.jpg","Organic cauliflower","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","2","cauliflower"
"62","Rice","60.00","1","kg","150","1","rice.jpg","Basmati rice","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","3","rice"
"63","Wheat Flour","50.00","1","kg","120","1","wheat_flour.jpg","Whole wheat flour","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","3","wheat-flour"
"64","Sugar","45.00","1","kg","100","1","sugar.jpg","Refined sugar","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","3","sugar"
"65","Salt","20.00","1","kg","80","1","salt.jpg","Iodized salt","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","3","salt"
"66","Cooking Oil","150.00","1","l","60","1","cooking_oil.jpg","Refined cooking oil","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","3","cooking-oil"
"67","Pasta","80.00","500","g","50","1","pasta.jpg","Italian pasta","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","3","pasta"
"68","Milk","55.00","1","l","100","1","milk.jpg","Fresh cow milk","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","4","milk"
"69","Cheese","250.00","200","g","50","1","cheese.jpg","Cheddar cheese","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","4","cheese"
"70","Butter","200.00","100","g","60","1","butter.jpg","Unsalted butter","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","4","butter"
"71","Yogurt","80.00","500","g","70","1","yogurt.jpg","Fresh yogurt","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","4","yogurt"
"72","Paneer","180.00","200","g","50","1","paneer.jpg","Cottage cheese","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","4","paneer"
"73","Cream","120.00","100","g","30","1","cream.jpg","Fresh cream","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","4","cream"
"74","Potato Chips","30.00","50","g","200","1","potato_chips.jpg","Crispy potato chips","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","5","potato-chips"
"75","Oreo Biscuits","60.00","100","g","150","1","oreo.jpg","Chocolate cream biscuits","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","5","oreo-biscuits"
"76","Lays Classic","30.00","50","g","200","1","lays.jpg","Classic salted chips","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","5","lays-classic"
"77","Haldiram Namkeen","100.00","200","g","80","1","namkeen.jpg","Spicy Indian snacks","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","5","haldiram-namkeen"
